satname, satId, intl_code, launchDate, period, category
SENTINEL-3A, 41335, 2016-011A, February 16 2016, 100.9, EARTH RESOURCES
BISONSAT, 40968, 2015-058E, October 8 2015, 97.5, EARTH RESOURCES
LAPAN A2 (IO-86), 40931, 2015-052B, September 28 2015, 97.5, EARTH RESOURCES
GAOFEN 8, 40701, 2015-030A, June 26 2015, 94.3, EARTH RESOURCES
SENTINEL 2A, 40697, 2015-028A, June 23 2015, 100.6, EARTH RESOURCES
KOMPSAT 3A, 40536, 2015-014A, March 25 2015, 95.2, EARTH RESOURCES
RESURS P2, 40360, 2014-087A, December 26 2014, 93.9, EARTH RESOURCES
CBERS-4, 40336, 2014-079A, December 7 2014, 100.3, EARTH RESOURCES
GAOFEN 2, 40118, 2014-049A, August 19 2014, 97.3, EARTH RESOURCES
SKYSAT 2, 40072, 2014-037D, July 8 2014, 97.2, EARTH RESOURCES
SPOT 7, 40053, 2014-034A, June 30 2014, 98.7, EARTH RESOURCES
ALOS 2, 39766, 2014-029A, May 24 2014, 97.3, EARTH RESOURCES
KAZEOSAT 1, 39731, 2014-024A, April 30 2014, 99.9, EARTH RESOURCES
SHIYAN-5 (SY-5), 39455, 2013-068A, November 25 2013, 99.7, EARTH RESOURCES
STSAT 3, 39422, 2013-066G, November 21 2013, 96.7, EARTH RESOURCES
DUBAISAT 2, 39419, 2013-066D, November 21 2013, 96.4, EARTH RESOURCES
SKYSAT 1, 39418, 2013-066C, November 21 2013, 96.1, EARTH RESOURCES
RESURS P1, 39186, 2013-030A, June 25 2013, 93.9, EARTH RESOURCES
VNREDSAT 1, 39160, 2013-021B, May 7 2013, 98.4, EARTH RESOURCES
PROBA V, 39159, 2013-021A, May 7 2013, 101.2, EARTH RESOURCES
GAOFEN 1, 39150, 2013-018A, April 26 2013, 97.5, EARTH RESOURCES
SARAL, 39086, 2013-009A, February 25 2013, 100.6, EARTH RESOURCES
LANDSAT 8, 39084, 2013-008A, February 11 2013, 98.8, EARTH RESOURCES
GOKTURK 2, 39030, 2012-073A, December 18 2012, 97.8, EARTH RESOURCES
VRSS-1, 38782, 2012-052A, September 29 2012, 97.6, EARTH RESOURCES
SPOT 6, 38755, 2012-047A, September 9 2012, 98.7, EARTH RESOURCES
BKA 2, 38708, 2012-039B, July 22 2012, 94.7, EARTH RESOURCES
KANOPUS-V 1, 38707, 2012-039A, July 22 2012, 94.8, EARTH RESOURCES
RISAT 1, 38248, 2012-017A, April 26 2012, 95.4, EARTH RESOURCES
ZY 1, 38038, 2011-079A, December 22 2011, 100.3, EARTH RESOURCES
SICH 2, 37794, 2011-044G, August 17 2011, 98.5, EARTH RESOURCES
HAIYANG 2A, 37781, 2011-043A, August 15 2011, 104.4, EARTH RESOURCES
RESOURCESAT 2, 37387, 2011-015A, April 20 2011, 101.3, EARTH RESOURCES
TIANHUI 1, 36985, 2010-040A, August 24 2010, 94.5, EARTH RESOURCES
ALSAT 2A, 36798, 2010-035D, July 12 2010, 98.2, EARTH RESOURCES
CARTOSAT 2B, 36795, 2010-035A, July 12 2010, 97.4, EARTH RESOURCES
